uID;Name;Firma;Alternativname;Quelle
1430;TU Braunschweig;Siemens;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Volkswagen;Volkswagen Financial Services AG;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Miele & Cie. KG;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Prof. em. Dr.-Ing. Heinz Duddeck;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;IHK Braunschweig;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Ferchau Engineering ;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Ed. Züblin AG;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Lufthansa;Lufthansa Technik AG;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Cray-Stiftung;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Leser GmbH & Co. KG;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Jürgen Lambrecht;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Doris Hartmann-Eggeling und Klaus-Dieter Eggeling;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Helmut Streiff;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Deutsche Bahn;Deutsche Bahn Stiftung gGmbH;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Brunel;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Signon Deutschland GmbH;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;E.ON;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;AutoVision GmbH;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Förderverein Partikeltechnik Braunschweig e.V.;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1440;TU Clausthal;Bayer;Bayer-Stiftungen;http://www.stipendien.tu-clausthal.de/deutschland-stipendium/unsere-foerderer/
1440;TU Clausthal;Boehringer Ingelheim;;http://www.stipendien.tu-clausthal.de/deutschland-stipendium/unsere-foerderer/
1440;TU Clausthal;Continental;;http://www.stipendien.tu-clausthal.de/deutschland-stipendium/unsere-foerderer/
1440;TU Clausthal;Porsche;;http://www.stipendien.tu-clausthal.de/deutschland-stipendium/unsere-foerderer/
1440;TU Clausthal;GDMB Gesellschaft für Bergbau, Metallurgie, Rohstoff- und Umwelttechnik;;http://www.stipendien.tu-clausthal.de/deutschland-stipendium/unsere-foerderer/
1440;TU Clausthal;Sartorius;Sartorius Stedim Biotech GmbH;http://www.stipendien.tu-clausthal.de/deutschland-stipendium/unsere-foerderer/
1450;Universität Hannover;Bahlsen;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Herr Prof. Dr.-Ing. Erich Barke;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Bayer;Bayer-Stiftungen;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Bechtle;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Bilfinger Berger;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Bundesdruckerei;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Continental;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Deutsche Messe AG;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Rossmann GmbH;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Enercity;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Herr Dipl.-Ing. Horst Engelhardt;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;E.ON;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Exxonmobil;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Ferchau Engineering ;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Freundeskreis der Leibniz Universität Hannover e.V.;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Gebrüder Heyl Analysentechnik GmbH & Co. KG;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Harting;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Hochschul-Informations-System GmbH (HIS);;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Prof. Dr. rer. nat. habil. Klaus Hulek;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Industrie-Club Hannover e.V.;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;IPH - Institut für Integrierte Produktion Hannover GmbH;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Johnson Controls International;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Kjellberg-Stiftung;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Komatsu;Komatsu Hanomag GmbH;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Kosenina, Alexander;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Lenze SE;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;LPI Ingenieursgesellschaft mbH;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;LPKF Laser & Elektronics AG;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Madsack GmbH & Co.KG;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Mecklenburgische Versicherungsgruppe;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;MTU Maintenance;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Nass Magnet GmbH;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Nord LB;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;OSB AG;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Prof. Dr. rer. nat. Rainer Parchmann;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Porsche;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Rheinmetall AG;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Bosch;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Sartorius;Sartorius Corporate Administration GmbH;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Schlütersche Verlagsgesellschaft;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Herr Dr. Rüdiger Scholz;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Sennheiser Electronic GmbH & Co. KG;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Solvay GmbH;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Talanx AG;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Herr Frank Thiele;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
1450;Universität Hannover;Transnorm System GmbH;;http://www.uni-hannover.de/de/studium/stipendien/stipendienvergabe/
