Bundesland;Universität;Jahr;Name des Gebers;Geld-/Sachspende;Art der Leistung;Wert;Hinweis;Alternativname;Quelle
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Cetoni GmbH;Geldleistung;Sponsoring;595;Tagungsveranstaltung bbmec 2011, MT;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Dyomics GmbH;Geldleistung;Sponsoring;595;Tagungsveranstaltung bbmec 2011, MT;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Tailor & Francis;Geldleistung;Sponsoring;500;Tagungsveranstaltung bbmec 2011, MT;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Hoya Lens Deutschland GmbH;Geldleistung;Sponsoring;500;Lehrbuch Grundlagen Optik und Technologien in der Augenoptik;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Rathenower Optik GmbH;Geldleistung;Sponsoring;500;Lehrbuch Grundlagen Optik und Technologien in der Augenoptik;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Wolfrum Kälte Systeme GmbH;Geldleistung;Sponsoring;1190;Tagungsveranstaltung bbmec 2011, MT;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Essilor GmbH;Geldleistung;Sponsoring;500;Lehrbuch Grundlagen Optik und Technologien in der Augenoptik;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Bitburger;Geldleistung;Sponsoring;5950;Werbung & Schank recht, diverse Veranstaltungen der FH Jena;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Mitbestimmungs-, Forschungs- und Studien- Förderungswerk des Deutschen Gewerkschaftsbundes;Geldleistung;Sponsoring;500;Studentische Fachtagung zur Sozialpolitik 2011;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Jenoptik;Geldleistung;Spende;2189,53;BEGEGNUNGEN Kultur-Technik- Wirtschaft;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Gong Verlag GmbH;Geldleistung;Spende;7500;Unterstützung Fachbereich BW, Schwerpunkt Marke-;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Ernst-Abbe-Stiftung;Geldleistung;Spende;2000;20 jähriges Jubiläum der FH Jena;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Jenoptik;Geldleistung;Spende;1125;BEGEGNUNGEN Kultur-Technik- Wirtschaft;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Förderkreis Studium und Wirtschaft Jena e.V.;Geldleistung;Spende;1500;Thomson Datenbank;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Förderkreis d. FH Jena e.V.;Geldleistung;Spende;1000;Workshop bbmec 2011, Fachbereich MT;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Brose Gruppe;Geldleistung;Spende;500;Abschlussarbeit MB;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
