Bundesland;Uni;Name;Funktion;Unternehmen;Alternativname;Quelle
Schleswig-Holstein;FH Lübeck;Dr. Erik Larsson;Vorsitzender;Glaxo-Smith-Kline GmbH & Co. KG;Glaxo Wellcome GmbH & Co., Bad Oldesloe;https://www.fh-luebeck.de/Inhalt/03_Hochschulangehoerige_Ch031/07_L_Ueber_die_Hochschule/04_Organisation/01_Hochschulrat/index.html
Schleswig-Holstein;FH Lübeck;Max Schön;;Max & Co Küchenhandelsgesellschaft mbH, Lübeck;;https://www.fh-luebeck.de/Inhalt/03_Hochschulangehoerige_Ch031/07_L_Ueber_die_Hochschule/04_Organisation/01_Hochschulrat/index.html
Schleswig-Holstein;Musikhochschule Lübeck;Renate Menken;;Possehl-Stiftung;;http://www.mh-luebeck.de/hochschule/gremien/hochschulrat/
Schleswig-Holstein;Universität Flensburg;Andreas Dethleffsen;;Hermann G. Dethleffsen-Familienholding;;https://www.uni-flensburg.de/portal-die-universitaet/die-institution/hochschulrat/
Sachsen-Anhalt;Hochschule Harz (FH);Dr. Franz Mnich;Vorsitzender;Microvista GmbH;;https://www.hs-harz.de/hochschule/organisation/kuratorium/
Sachsen-Anhalt;Hochschule Harz (FH);Gerhard Bürger;;Bürger AG;;https://www.hs-harz.de/hochschule/organisation/kuratorium/
Sachsen-Anhalt;Hochschule Harz (FH);Prof. Dr. Hartmut Dannenberg;;HaCon Ingenieurgesellschaft mbH;;https://www.hs-harz.de/hochschule/organisation/kuratorium/
Sachsen-Anhalt;Hochschule Harz (FH);Dr. Dieter Nirschl;;TUI;TUIfly GmbH;https://www.hs-harz.de/hochschule/organisation/kuratorium/
Sachsen-Anhalt;Otto-von-Guericke-Universität Magdeburg (ohne Klinikum);Herr Günther Troppmann;;Deutsche Kreditbank;;http://www.ovgu.de/Universit%C3%A4t/Struktur/Kuratorium-p-10185.html
Sachsen-Anhalt;Otto-von-Guericke-Universität Magdeburg (ohne Klinikum);Herr Dipl.-Ing. Helmut Gierse;;Siemens;;http://www.ovgu.de/Universit%C3%A4t/Struktur/Kuratorium-p-10185.html
Sachsen-Anhalt;Otto-von-Guericke-Universität Magdeburg (ohne Klinikum);Herr Prof. Dr.-Ing. Ulf Plöcker;;Evonik;Evonik Degussa GmbH;http://www.ovgu.de/Universit%C3%A4t/Struktur/Kuratorium-p-10185.html
Sachsen-Anhalt;Hochschule Anhalt (FH);Matthias Gabriel;;P-D group;P-D ChemiePark Bitterfeld Wolfen GmbH;http://www.hs-anhalt.de/hochschule/struktur/kuratorium.html
Sachsen-Anhalt;Hochschule Anhalt (FH);Dr. Helge Fänger;;Serumwerk Bernburg AG;;http://www.hs-anhalt.de/hochschule/struktur/kuratorium.html
Sachsen-Anhalt;Hochschule Magdeburg-Stendal (FH);Dr. Lutz Petermann;;FAM Magdeburger Förderanlagen und Baumaschinen GmbH;;https://www.hs-magdeburg.de/hochschule/leitung-und-gremien/kuratorium.html
Sachsen-Anhalt;Hochschule Magdeburg-Stendal (FH);Klemens Gutmann;;regiocom GmbH;;https://www.hs-magdeburg.de/hochschule/leitung-und-gremien/kuratorium.html
Sachsen-Anhalt;Universität Halle (ohne Klinikum);Wilfried Klose;;Abfallwirtschaft Gmb;;http://www.rektor.uni-halle.de/gremien/kuratorium/zusammensetzung/
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);Jürgen Radomski;;Siemens;;https://www.uni-jena.de/Universitaetsrat.html
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);Prof. Dr. Michael Kaschke;;Carl Zeiss;Carl Zeiss AG;https://www.uni-jena.de/Universitaetsrat.html
Thüringen;Ernst Abbe Fachhochschule Jena;Klaus Berka;Vorsitzender;Analytik Jena AG;;http://www.fh-jena.de/fhj/fhjena/de/fhj/hse/Gremien/hosrat/Seiten/Hochschulrat.aspx
