Land;Hochschule;Stiftungsprofessur;Stifter;Fördersumme pro Jahr;Fördersumme insgesamt;Laufzeit;Quelle;Alternativname;
;;Erziehungswissenschaften;Thurgauische Stiftung für Wissenschaft und Forschung;;;unbefristet;;;
;Universität Mannheim;Allgemeine Betriebswirtschaftslehre und Wirtschafts-informatik, insbesondere E-Business and E-Goverment;Dieter-Schwarz-Stiftung;150000;1500000;10 Jahre;;;
;;Allgemeine Betriebswirtschaftslehre und Marketing IV;Dr. Werner Jäckstädt-Stiftung;350000;1750000;5 Jahre;;;
;;Allgemeine Betriebswirtschaftslehre und Rechnungswesen;Ernst & Young;250000;2500000;10 Jahre;;;
;;Business Administration and Corporate Governance;Bilfinger Berger;200000;1000000;5 Jahre;;;
;;;Fuchs Petrolub AG;;;;;;
;;;MVV Energie AG;;;;;;
;;;Südzucker AG;;;;;;
;;Volkswirtschaftslehre, Mikroökonometrie;Alexander von Humboldt Stiftung;70000;3500000;5 Jahre;;;
;Universität Stuttgart;Verkehrsplanung und Verkehrsleittechnik;Daimler;170000;1740000;10 Jahre;;DaimlerChrysler beim Stifterverband für die Deutsche Wissenschaft;
;;Kraftfahrzeugmechatronik;Zulieferfirmen der KFZ-Industrie beim Stifterverband für die Deutsche Wissenschaft;160000;1610000;10 Jahre;;;
;;Theoretische Festkörperphysik;Max-Planck-Gesellschaft;150000;1500000;10 Jahre;;;
;;Windenergie;Karl-Schlecht-Stiftung;250000;2500000;10 Jahre;;;
;;Produktionstechnische Softwaresysteme;Einzelstifter aus der Werkzeugmaschinenindustrie;110000;1080000;10 Jahre;;;
;;Biomedical Engineering;Deutsche Krebshilfe;80000;760000;10 Jahre;;;
;;Nachaltigkeit, Baukonstruktion, Entwerfen;Wüstenrot;190000;1910000;10 Jahre;;Wüstenrot-Stiftung;
;;Wirkungsgeschichte der Technik;Berthold-Leibinger-Stiftung;150000;1500000;10 Jahre;;;
;;Mechanische Trennprozesse;Mann + Hummel GmbH;110000;1100000;10 Jahre;;;
;;Wasserkraft;EnBW;400000;4000000;10 Jahre;;;
;;;Siemens;;;;;;
;Universität Tübingen (Klinikum);Magnetoencephalography, Tenure Treck;CIN;;;5 Jahre;;;
;;Arbeits- und Sozialmedizin;Südwestmetall;400000;4000000;10 Jahre;;;
;;Hertie-Institut für Klinische Hirnforschung;;2200000;22000000;10 Jahre;;;
;;Neurologie mit Schwerpunkt Nuerodegenartive Erkrankungen;Hertie-Stiftung;;;10 Jahre;;;
;;Zellbiologische Grundlagenforschung;Hertie-Stiftung;;;;;;
;;Klinische Neurogenetik;Hertie-Stiftung;;;;;;
;;Funktionelle Neurogenetik;Hertie-Stiftung;;;;;;
;;N.N.;Hertie-Stiftung;;1950000;6 Jahre;;;
;;Neurologie mit Schwerpunkt Epileptologie;Hertie-Stiftung;;1630000;6 Jahre;;;
;;Experimentell-Klinische Gynäkoonkologie;Novartis;900000;4500000;5 Jahre;;;
;;Molekularbiologie degenerativer Netzhauterkrankungen;Tistou und Charlotte Kerstan Stiftung VISION 2000 SEHEN-KUNST-SINNESFUNKTIONEN;350000;3850000;11 Jahre;;;
;;Neuroplastizität des kindlichen Gehirns;Schön Kliniken GmbH;150000;750000;offen;;;
;;Präklinische Bildgebung und Bildgebungstechnologie;Siemens;320000;3200000;10 Jahre;;Werner-Siemens-Stiftung;
;;Klinische Pharmakologie;Bosch;;;;;Robert-Bosch-Stiftung;
;;Neurodegeneration des Auges;Deutsche Forschungsgemeinschaft;80000;250000;3 Jahre;;;
;;Nephrologie mit Schwerpunkt diabetische Nephropathie;Sanofi Aventis;;420000;5 Jahre;;;
;;Ophtalmic Research;CIN;;;5 Jahre;;;
;;Systems Neurophysiologie;CIN;;;5 Jahre;;;
;;Klinisch-Experimentelle Diabetologie;Deutsche Forschungsgemeinschaft;;;5 Jahre;;;
;;Entzündliche Herz-Kreislauferkrankungen;Volkswagen;230000;1170000;5 Jahre;;Volkswagen-Stiftung (Lichtenberg);
;;Biomaterialentwicklung mit Schwerpunkt karidiovaskülare regenerative Medizin;Fraunhofer-Gesellschaft;;;5 Jahre;;;
;Universität Ulm (Klinikum);Transfusionsmedizin und Immunologie;DRK-Blutspendedienst Baden-Württemberg;100000;1000000;10 Jahre;;;
