Bundesland;Uni;Name;Unternehmen;Branche;FIELD6;Funktion;Alternativname;Quelle
Rheinland-Pfalz;Universität Mainz;Prof. Dr. Dr. Andreas Barner;Boehringer Ingelheim;Medizin;;Vorsitzender;;http://www.uni-mainz.de/organisation/35_DEU_HTML.php
Rheinland-Pfalz;Universität Mainz;Dr. Leopold von Heimendahl (ehem. Vorstandssprecher von Schott);Schott Glas;;;;;http://www.uni-mainz.de/organisation/35_DEU_HTML.php
Saarland;Universität des Saarlandes Saarbrücken in Saarbrücken;Prof. Dr.-Ing. Klaus Henning;OSTO Systemberatung GmbH;;;;;http://www.uni-saarland.de/info/universitaet/organisation/universitaetsrat/mitglieder.html
Saarland;Universität des Saarlandes Saarbrücken in Saarbrücken;Prof. Dr. Norbert Bannenberg;Technischer Vorstand Dillinger Hüttenwerke AG;;;;;http://www.uni-saarland.de/info/universitaet/organisation/universitaetsrat/mitglieder.html
Sachsen;TU Bergakademie Freiberg;Herr Prof. Dr. Burkhard Schwenker;Roland Berger Strategy Consultants GmbH;Beratung;;;;https://tu-freiberg.de/zuv/gremien/hochschulrat.html
Sachsen;TU Bergakademie Freiberg;Herr Prof. Karl-Ulrich Köhler;Tata Steel Europe;Rohstoffe;;;;https://tu-freiberg.de/zuv/gremien/hochschulrat.html
Sachsen;TU Bergakademie Freiberg;Herr Dipl.-Ing. Mario Behrendt;Deutsche Solar GmbH;Energie;;;;https://tu-freiberg.de/zuv/gremien/hochschulrat.html
Sachsen;TU Chemnitz;Dipl.-Kfm. Bodo Finger;Chemnitzer Zahnradfabrik GmbH & Co. KG;Maschinenbau;;;;https://www.tu-chemnitz.de/verwaltung/hochschulrat/
Sachsen;TU Chemnitz;Dr.-Ing. E. h. Gunnar Grosse;KOMSA Kommunikation Sachsen AG;;;;;https://www.tu-chemnitz.de/verwaltung/hochschulrat/
Sachsen;TU Chemnitz;Hans J. Naumann;NILES-SIMMONS-HEGENSCHEIDT GmbH;;;;;https://www.tu-chemnitz.de/verwaltung/hochschulrat/
Sachsen;TU Dresden (ohne Klinikum);Prof. Klaus Raps;Bilfinger;Bau;Dienstleistungen;Stellvertr. Vorsitzender;;https://tu-dresden.de/die_tu_dresden/gremien_und_beauftragte/hochschulrat
Sachsen;TU Dresden (ohne Klinikum);Gunda Röstel;GELSENWASSER;Energie;;Vorsitzende;;https://tu-dresden.de/die_tu_dresden/gremien_und_beauftragte/hochschulrat
Sachsen;TU Dresden (ohne Klinikum);Dipl.-Ing. Jörg Thiele;iproplan Planungsgesellschaft mbH;;;;;https://tu-dresden.de/die_tu_dresden/gremien_und_beauftragte/hochschulrat
Sachsen;Universität Leipzig (ohne Klinikum);Knut Löschke;Comparex;Informationstechnik;;;;http://www.zv.uni-leipzig.de/universitaet/profil/zentrale-organe/hochschulrat.html
Sachsen;Universität Leipzig (ohne Klinikum);Knut Löschke;PC-Ware Information Technologies GmbH/AG;Informationstechnik;;;;http://www.zv.uni-leipzig.de/universitaet/profil/zentrale-organe/hochschulrat.html
Sachsen-Anhalt;Otto-von-Guericke-Universität Magdeburg (ohne Klinikum);Herr Prof. Dr.-Ing. Ulf Plöcker;Evonik;Chemie;;;Evonik Degussa GmbH;http://www.ovgu.de/Universit%C3%A4t/Struktur/Kuratorium-p-10185.html
Sachsen-Anhalt;Otto-von-Guericke-Universität Magdeburg (ohne Klinikum);Herr Günther Troppmann;Deutsche Kreditbank;Finanzwirtschaft;;;;http://www.ovgu.de/Universit%C3%A4t/Struktur/Kuratorium-p-10185.html
Sachsen-Anhalt;Otto-von-Guericke-Universität Magdeburg (ohne Klinikum);Herr Dipl.-Ing. Helmut Gierse;Siemens;;;;;http://www.ovgu.de/Universit%C3%A4t/Struktur/Kuratorium-p-10185.html
Sachsen-Anhalt;Universität Halle (ohne Klinikum);Wilfried Klose;Abfallwirtschaft GmbH;;;;;http://www.rektor.uni-halle.de/gremien/kuratorium/zusammensetzung/
Schleswig-Holstein;Universität Flensburg;Andreas Dethleffsen;Hermann G. Dethleffsen-Familienholding;;;;;https://www.uni-flensburg.de/portal-die-universitaet/die-institution/hochschulrat/
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);Prof. Dr. Michael Kaschke;Carl Zeiss;Optik;;;Carl Zeiss AG;https://www.uni-jena.de/Universitaetsrat.html
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);Jürgen Radomski;Siemens;;;;;https://www.uni-jena.de/Universitaetsrat.html
Thüringen;TU Ilmenau;Thomas Dehn;Dehn + Söhne GmbH & Co. KG;Elektrotechnik;;;;https://www.tu-ilmenau.de/gremien/hochschulrat/
Thüringen;Universität Erfurt;Dr. Hanna Proner;DIE ZEIT, Hamburg;Medien;;;;https://www.uni-erfurt.de/uni/leitung/organe/hochschulrat/
Thüringen;Bauhaus-Universität Weimar;Dr. Thomas Rabe;Bertelsmann SE & Co. KGaA;Verlag;;Universitätsrat;Bertelsmann;https://www.uni-weimar.de/de/universitaet/aktuell/bauhausjournal-online/titel/senat-der-bauhaus-universitaet-weimar-waehlt-neuen-universitaetsrat-1/  
Thüringen;Bauhaus-Universität Weimar;Nathalie Wappler Hagen ;Schweizer Radio und Fernsehen (SRF);Medien;;Universitätsrat;;https://www.uni-weimar.de/de/universitaet/aktuell/bauhausjournal-online/titel/senat-der-bauhaus-universitaet-weimar-waehlt-neuen-universitaetsrat-1/  
