Bundesland;Uni;Name;Funktion;Unternehmen;Alternativname
;Hochschule für Bildende Künste Hamburg;Konstantin Kleffel;Vorsitzender;Architekturbüro Kleffel;
;;Nikolaus W. Schües;;Reederei F. Laeisz;
;;Heike Catherina Mertens;;Bayer;Schering Stiftung
;Hafencity Universität Hamburg;Leo Mittelholzer;Vorsitzender;Holcim AG;
;;Kirsten Wagner;;Nordmetall;Nordmetall-Stiftung
Hessen;Universität Mannheim;Dr. John Feldmann;Vorsitzender;BASF SE;
;;Dr. h.c. Eggert Voscherau;;BASF SE;
;Technische Hochschule Mittelhessen;Dipl.-Betriebswirtin Sabine Bender-Suhr;Vorsitzender;Bender Group;
;;Dipl.-Kfm. Ulrich Schoof;;Linde + Wiemann;
;Universität Frankfurt a.M. (ohne Klinikum);Rolf-E. Breuer;;Deutsche Bank;
;Universität Gießen;Dr. Wolfgang Maaß;;Gießener Anzeiger Verlags GmbH & Co KG;
;Universität Kassel;Dr.-Ing. Günther Cramer;;SMA Solar Technology AG;
;;Prof. Dr. Ing. Werner Neubauer;;Volkswagen;Volkswagen AG
;FH Frankfurt a.M.;Uwe Großmann;stellv. Vorsitzender;Siemens;
;;Barbara David;;Commerzbank;
;;Dr. jur. Helmut Rothenberger;;Dr. Helmut Rothenberger Holding GmbH;
;Hochschule Bochum;Christina Philipps;;Philips;
;;Angelika Rheinländer;;Gebr. Eickhoff Maschinenfabrik und Eisengießerei GmbH;
;Technische Hochschule Mittelhessen;Dipl.-Betriebswirtin Sabine Bender-Suhr;Vorsitzender;Bender Group;
;;Dipl.-Kfm. Ulrich Schoof;;Linde + Wiemann;
;h_da - Hochschule Darmstadt (FH);Dipl.-Kfm. Albert Filbert;Vorsitzender;Bilfinger Berger;
;;Dipl.-Volkswirt Ralf W. Dieter;;Dürr AG;
;;Thorsten Muntermann;;koziol »ideas for friends GmbH;
;Hochschule für Gestaltung Offenbach;Dr. h.c. Udo Corts;Vorsitzender;DVAG Deutsche Vermögensberatung;
;;Alfred Clouth;;Alfred Clouth Lackfabrik;
;;Sylvia von Metzler;;Bankhaus Metzler seel. Sohn & Co. KGaA;
;Hochschule RheinMain;Herr Dr. Tobias Sünner;;Opel;
;Technische Universität Darmstadt;Herr Professor Dr. Bernd Reckmann;;Merck Group;
;;Herr Professor Dr. Georg Winckler;;"Erste Group Bank; UNIQA Versicherungen AG";
;;Herr Dr. Holger Zinke;stellv. Vorsitzender;Technologieunternehmen BRAIN;
;Hochschule Mannheim;Dr. Bernhard Haas;;Deere & Company;
;;Dr.-Ing. Gunther Kegel;;Pepperl + Fuchs GmbH;
;;Herr Dr. Holger Zinke;;B.R.A.I.N. AG;
;Universität Marburg;Prof. Dr. Dr. Dr. h.c. Uwe Bicker;;Sanofi Aventis;
;;Dr. h. c. Dipl.-Kfm. Beate Heraeus;;Bertha Heraeus und Kathinka Platzhoff Stiftung;
;;Prof. Dr. Jochen Maas;;Sanofi-Aventis Deutschland GmbH;
;Universität Gießen;Dr. Wolfgang Maaß;;Gießener Anzeiger Verlags GmbH & Co KG;
Baden-Württemberg;Universität Heidelberg (ohne Klinikum);Prof. Dr. Hanns-Peter Knaebel;;Aesculap AG;
;;Margret Suckale;;BASF SE;
;Duale Hochschule Baden Württemberg;Prof. Edgar Bohn;Vorsitzender;BGV / Badische Versicherungen;
;;Gabrielle Kellermann;;BBBank eG;
;;Marcus Blümle;;E.G.O. Elektro-Gerätebau GmbH;
;;Markus Scheib;;MiRO Mineraloelraffinerie Oberrhein GmbH & Co. KG;
;;Christian Stäblein;;Filiadata GmbH;
;;Lars Mackel;;Zettwerk Software Engineering GmbH;
;;Lorenz Freudenberg;Vorsitzender;Freudenberg & Co. KG;
;;Dr.-Ing. Elke Schwing;;Roche;
;;Markus Ochsner;;ABB;
;;Günther Siegl;;Daimler;Daimler AG
;;Ralf Blasek;;IBM;
;Hochschule Biberach;Dr. Nikolaus F. Rentschler;Vorsitzender;Dr. Rentschler Holding GmbH & Co.KG;
;;Dr. Dorothee Ambrosius;;Boehringer Ingelheim;
;;Dr. Wolfram Münch;;EnBW;
;Hochschule Albstadt-Sigmaringen;Udo J. Vetter;;Firmengruppe VETTER;
;;Dr. Thomas Lindner;;Groz-Beckert KG;
;;Dr. rer. nat. Sophie Schwörer;;SchwörerHaus KG;
;Hochschule Aalen;Prof. Dr. Michael Kaschke;;Carl Zeiss;Carl Zeiss AG
;;Martin Hennerici;;Voith Industrial Service Holding GmbH;
;;Dr. Dieter Kress;;MAPAL Präzisionswerkzeuge KG;
;;Dr. Stefan Kampmann;;Bosch;
;;Franziska Eichel;;LMT Leading Metalworking Technologies Group;
;Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg;Hans-Joachim Haug;;WGV Stuttgart;
;;Frederic Gellert;;MWK Baden-Württemberg;
;Hochschule für Wirtschaft und Umwelt Nürtingen;Horst Keller;;Keller Lufttechnik;
;;Siegfried Knoll;;knoll.neues.gruen.gmbhn;
;;Roland Schuler;;BayWa AG;
;Hochschule für Gestaltung Schwäbisch Gmünd;Prof. Uli Mayer-Johanssen;;Meta-Design AG;
;;Jörn Petersen;;Daimler;Daimler AG
;;Bernd Richter;;Richter Lighting Technologies;
;;Dr. Jörg Steffen Rieger;;RUD Ketten Rieger & Dietz GmbH u. Co. KG;
;Hochschule für Forstwirtschaft Rottenburg;Gräfin Bettina Bernadotte;;Mainau GmbH;
;;RA Stephan Meißner;Vorsitzender;Papierzentrum Gernsbach;
;;Dr. Udo Hartmann;;Daimler;Daimler AG
;;Max Reger;;ForstBW ;
;Hochschule Furtwangen;Dr. Eugen Göller;Vorsitzender;Trumpf;
;;Silke Burger;;SBS-Feintechnik GmbH & Co. KG;
;;Ulrich van der Meer;;Hewlett-Packard GmbH;
;;Gabriele Siedle;;S. Siedle & Söhne;
;;Dr. Lothar Ulsamer;;Daimler;Daimler AG
;;Prof. Dr. Dr. Dr. h.c. Michael Ungethüm;;B. Braun Melsungen AG;
;Hochschule Esslingen;Klaus Freytag;Vorsitzender;Siemens;
;;Markus Heßbrüggen;;EMAG Holding GmbH;
;;Heidi Stock ;;Bosch;
;;Georg Weiberg;;Daimler;Daimler AG
;FH Stuttgart, H der Medien;Dr. Jürgen Rautert;Vorsitzender;WashTec AG;
;;Dr. Friedrich Wehrle;;Motor Presse Stuttgart;
;Universität Ulm (ohne Klinikum);Dr. Dr. h.c. Klaus Bleyer;Vorsitzender;Mahle GmbH;
;;Eduard Schleicher;;Schwenk;
;;Renate Pilz;;Pilz GmbH & Co.KG;
;;Ruth Martin;;Württ. Lebensversicherung AG, Vorstandsmitglied Württ. Versicherung AG, Vorstandsmitglied Württ. Krankenversicherung AG;
;;Dr. Ingrid Wünning Tschol;;Bosch;Robert-Bosch-Stiftung
;Hochschule Neu-Ulm;Dr. Jörg Hanisch;Vorsitzender;Wieland-Werke;
;;Monika Garske;;Deutsche Bank;
;;Dipl.-Kffr. Ulrike Hudelmaier;;TFU Gründer- und Technologiezentrum der Region Ulm/Neu-Ulm;
;;Dr. Dr. h.c. Michael Krause;;Commerzbank;
;;Dipl.-Ing. Christiane Schossig;;Wieland-Werke;
;Universität Tübingen (ohne Klinikum);Professor Dr. Andreas Busch;;Bayer;Bayer Schering Pharma AG
;;Dr. Albrecht Hauff;;Georg Thieme-Verlag KG;
;;Bettina Würth;;Würth;Adolf Würth GmbH & Co. KG
;Universität Stuttgart;Dr. Barbara Bludau;;Pöllath+Partners;
;;Dr. Siegfried Dais;;Bosch;Robert Bosch Industrietreuhand KG
;;Martina Koederitz;;IBM;
;;Prof. Dr. Thomas Weber;;Daimler;Daimler AG
;Hochschule Heilbronn;Tilmann Distelbarth;;Heilbronner Stimme GmbH & Co. KG;
;;Ralf Klenk;;b.i.g.-Gruppe;
