Bundesland;Universität;Jahr;Name des Gebers;Geld-/Sachspende;Art der Leistung;Wert;Hinweis;Alternativname;;;
;;2010;anonymisiert*;Geldleistung;Spende;2200;Forschung & Lehre;;;;
;;2010;anonymisiert*;Geldleistung;Spende;1000;wissenschaftliche Veranstaltung „Physiksommer“;;;;
;;2010;anonymisiert*;Geldleistung;Spende;1000;wissenschaftliche Veranstaltung „Physiksommer“;;;;
;;2010;anonymisiert*;Sachleistung;Spende;2115;Forschung & Lehre 1 Stück Dynamic Ran- ge Testbild, Neu;;;;
;;2010;anonymisiert*;Geldleistung;Spende;500;Forschung & Lehre;;;;
;;2010;anonymisiert*;Geldleistung;Spende;1000;kulturelle Veranstaltung „Uniball“;;;;
;;2010;Regina und Günter Ramthor Stiftung, Apolda;Geldleistung;Spende;1000;kulturelle Veranstaltung „Uniball“;;;;
;;2010;anonymisiert*;Geldleistung;Spende;5000;Forschung & Lehre;;;;
;;2010;anonymisiert*;Geldleistung;Spende;1567,44;wissenschaftliche Veranstaltung „Thermische Analyse für Hochtemperaturanwendungen“;;;;
;;2010;anonymisiert*;Geldleistung;Spende;6050;Forschung & Lehre Stipendien für aus- ländische Studierende;;;;
;;2010;anonymisiert*;Sachleistung;Spende;30502,08;Forschung & Lehre 3-achsige Präzisionskinematik, gebraucht;;;;
;;2010;anonymisiert*;Geldleistung;Spende;5500;Forschung & Lehre;;;;
;;2010;anonymisiert*;Geldleistung;Spende;12000;Forschung & Lehre;;;;
;;2010;anonymisiert*;Geldleistung;Spende;10000;Forschung & Lehre;;;;
;;2010;anonymisiert*;Geldleistung;Spende;2500;Forschung & Lehre;;;;
;;2010;anonymisiert*;Geldleistung;Spende;1000;Forschung & Lehre;;;;
;;2010;anonymisiert*;Geldleistung;Spende;49000;Forschung & Lehre Stipendien für Promovierende;;;;
;;2010;anonymisiert*;Geldleistung;Spende;16800;Forschung & Lehre Stipendien für Promovierende;;;;
;;2010;anonymisiert*;Geldleistung;Spende;16800;Forschung & Lehre Stipendien für Promovierende;;;;
